underlying_symbol	quote_date	root	expiration	strike	option_type	open	high	low	close	trade_volume	bid_size_1545	bid_1545	ask_size_1545	ask_1545	underlying_bid_1545	underlying_ask_1545	implied_underlying_price_1545	active_underlying_price_1545	implied_volatility_1545	delta_1545	gamma_1545	theta_1545	vega_1545	rho_1545	bid_size_eod	bid_eod	ask_size_eod	ask_eod	underlying_bid_eod	underlying_ask_eod	vwap	open_interest
^VIX	6/1/2016	VIX	6/1/2016	10	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	6
^VIX	6/1/2016	VIX	6/1/2016	10	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	10.5	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	10.5	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	11	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	11	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	11.5	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	83
^VIX	6/1/2016	VIX	6/1/2016	11.5	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	12	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	5
^VIX	6/1/2016	VIX	6/1/2016	12	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	0
^VIX	6/1/2016	VIX	6/1/2016	12.5	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	6
^VIX	6/1/2016	VIX	6/1/2016	12.5	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	10
^VIX	6/1/2016	VIX	6/1/2016	13	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	61
^VIX	6/1/2016	VIX	6/1/2016	13	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	32
^VIX	6/1/2016	VIX	6/1/2016	13.5	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	883
^VIX	6/1/2016	VIX	6/1/2016	13.5	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	1442
^VIX	6/1/2016	VIX	6/1/2016	14	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	223
^VIX	6/1/2016	VIX	6/1/2016	14	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	4479
^VIX	6/1/2016	VIX	6/1/2016	14.5	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	2017
^VIX	6/1/2016	VIX	6/1/2016	14.5	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	7369
^VIX	6/1/2016	VIX	6/1/2016	15	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	2888
^VIX	6/1/2016	VIX	6/1/2016	15	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	4697
^VIX	6/1/2016	VIX	6/1/2016	16	C	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	5382
^VIX	6/1/2016	VIX	6/1/2016	16	P	0	0	0	0	0	0	0	0	0	14.24	14.24	0	14.24	0	0	0	0	0	0	0	0	0	0	14.2	14.2	0	4599
